Unit,Title,Essential Question,Literacy,Math,Inquiry,SEL,Maker Project,Standards
20,Stories Around the World,How do stories travel across the world?,"Characters, setting, and story sequence",Compare story collections,"Maps, cultures, traditions, and respect",Social awareness,World story suitcase,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
21,Living and Nonliving Things,How can we tell what is living?,Living/nonliving vocabulary,"Sort, tally, and graph",Living things grow and need resources,Care for classroom and nature,Living/nonliving museum,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
22,"Water, Ice, and Weather Changes",How can water change?,Water words and procedural language,Sequence events and compare temperatures informally,"Water, ice, and weather change",Patience in experiments,Ice investigation,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
23,Earth Care and Stewardship,How can we take care of shared places?,Environmental vocabulary and shared writing,Count/reuse materials and sort recycling,Earth materials and human choices,Responsibility and service,Recycled art build,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
24,Transportation and Engineering,How do people and things move?,Transportation words and labels,Measure ramp distance,"Push, pull, motion, and design testing",Fairness in taking turns,Ramp lab,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K; KHAE-TECH-K
25,"Jobs, Tools, and Community Helpers",How do people help a community work?,Question words and interview practice,Count tools and make helper graph,Goods/services; helpers and responsibilities,Respect for workers,Community helper badge,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
26,"Symbols, Flags, and Civic Belonging",How do symbols help people remember and belong?,Symbol labels and shared pledge of care,Sort symbols by attributes,Civic symbols and classroom agreements,Respectful participation,Classroom flag,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
27,Neighborhood Market and Number Stories,How do numbers help us solve real problems?,Story problem language,Compose and decompose to 10,Community economy and fair exchange,Patience and sharing resources,Market math book,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
28,"Health, Food, and Growing Bodies",How do we care for our bodies?,Health vocabulary,Sort food groups/colors and count healthy choices,Body needs and healthy habits,Self-care,Healthy plate collage,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
29,"Movement, Balance, and the Body",How does movement help us learn?,Action verbs,"Position, direction, and movement patterns","Body movement, bones/muscles basics",Confidence and safe risk,Movement maze,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
30,"Art, Music, and Pattern Makers",How can patterns become art and music?,Describe art and music,"Patterns, shapes, and counting beats","Sound, vibration, and design",Creative courage,Gallery and concert,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
31,"Bugs, Gardens, and Tiny Worlds",What tiny living things can we observe?,Observation words and detail labels,Count legs/wings and graph garden life,Animal structures and habitats,Gentle observation,Bug field guide,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
32,"Water Worlds: Pond, River, and Ocean",How is water a home?,Water habitat vocabulary,Sort/count water animals,Habitats and resources,Care and safety near water,Water habitat mural,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
33,"Space, Moon, and Day/Night",What patterns can we see in the sky?,Sky words and question sentences,Sequence day/night and count sky observations,"Sun, moon, stars, and day/night patterns",Wonder and patience,Night-sky journal,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K; KHAE-TECH-K
34,"Tools, Technology, and Digital Citizenship",How can tools help us create safely?,"Sequence words: first, next, last",Coding patterns and directional language,Simple tools and digital citizenship,Responsible choices,Unplugged robot map,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K; KHAE-TECH-K
35,My Big Question Capstone,What big question do I want to explore?,Question words and oral presentation,Choose math tools for a project,"Inquiry, evidence, design, and communication",Confidence and collaboration,Big question board,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K; KHAE-TECH-K
36,Kindergarten Review and Final Celebration,How can I show I am ready for first grade?,"Review letters, sounds, words, and stories","Review numbers, shapes, data, and problem solving",Review science/social studies/arts/wellness,"Pride, gratitude, and next steps",Portfolio celebration,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
